id,name,category,value,unit,reference,notes,last_updated
example_001,Example Item 1,Category A,100,mg,Smith 2020,This is a sample note,2025-10-29
example_002,Example Item 2,Category B,200,mg/kg,Jones 2021,Another example,2025-10-29
example_003,Example Item 3,Category A,50,mL,FDA 2022,Dose adjustment required,2025-10-29

# CSV Template Instructions:
# 1. First row is ALWAYS headers (column names)
# 2. Use commas to separate columns
# 3. If text contains commas, wrap in quotes: "Last, First"
# 4. Common column patterns:
#
# For Scores:
#   score_id,name,input_key,label,type,unit,points_rule,ref,interpretation
#
# For Drugs:
#   drug_id,drug_name,class,indication,dose_min,dose_max,dose_unit,frequency,route,renal_adjust,ref,notes
#
# For Protocols:
#   protocol_id,name,step_order,step_title,step_content,timing,critical,ref
#
# For Reference Data:
#   id,category,subcategory,value,unit,normal_range,interpretation,ref
#
# 5. Import to Google Sheets:
#    - File → Import → Upload
#    - Replace current sheet
#    - Separator: Comma
#
# 6. Data Validation Tips:
#    - Avoid special characters in IDs (use lowercase, underscores)
#    - Be consistent with units (mg vs milligrams)
#    - Include references for clinical data
#    - Add last_updated column for version tracking

